"동서트레일 충남·경북 구간별 상세 현황 (1~12, 47~55구간)",,,,,,,
,,,,,,,
구간,주요 코스,거리 (km),소요 시간,난이도,쉼터 / 대피소명,소재지 주소,지역 맛과 멋 (연계 관광/먹거리)
52구간,전곡리 마을회관 ~ 전곡1길 갈림길 ~ 큰넓재 ~ 한나무재 ~ 소광3교 ~ 소광2리(금강송펜션),12,3시간 10분,3등급,넓재간이대피소,경북 울진군 금강송면 쌍전리 산152,"큰넓재 고갯길 풍경, 산림욕"
52구간,전곡리 마을회관 ~ 전곡1길 갈림길 ~ 큰넓재 ~ 한나무재 ~ 소광3교 ~ 소광2리(금강송펜션),12,3시간 10분,3등급,소광리대피소,경북 울진군 금강송면 소광리 657,세계적인 울진 금강소나무숲길 탐방
53구간,소광2리(금강송펜션) - 처진터재 ~ 너삼밭재 - 대광천 - 주막터 ~ 샛재(조령성황사) ~ 찬물내기 - 합수나달 - 바릿재 - 두천1리(내성행상불망비),13.2,3시간 20분,3~4등급,소광리대피소,경북 울진군 금강송면 소광리 657,"울진 금강송 송이버섯 요리, 십이령 옛길 정취"
53구간,소광2리(금강송펜션) - 처진터재 ~ 너삼밭재 - 대광천 - 주막터 ~ 샛재(조령성황사) ~ 찬물내기 - 합수나달 - 바릿재 - 두천1리(내성행상불망비),13.2,3시간 20분,3~4등급,찬물내기간이대피소,경북 울진군 금강송면 소광리 산1,"찬물내기 샘터, 조령성황사 역사 탐방"
53구간,소광2리(금강송펜션) - 처진터재 ~ 너삼밭재 - 대광천 - 주막터 ~ 샛재(조령성황사) ~ 찬물내기 - 합수나달 - 바릿재 - 두천1리(내성행상불망비),13.2,3시간 20분,3~4등급,두천리대피소,경북 울진군 북면 두천리 230,내성행상불망비(보부상 역사 유적)
54구간,두천리(내성행상불망비) ~ 안말래마을 ~ 사기점 ~ 돌머리삼거리 ~ 보부천 ~ 선바위 ~ 중섬마을,17.5,3시간 40분,2~3등급,두천리대피소,경북 울진군 북면 두천리 230,"울진 돌미역, 불영사 사찰 탐방"
54구간,두천리(내성행상불망비) ~ 안말래마을 ~ 사기점 ~ 돌머리삼거리 ~ 보부천 ~ 선바위 ~ 중섬마을,17.5,3시간 40분,2~3등급,들머리삼거리대피소,경북 울진군 북면 두천리 산72-1,"돌머리 마을 풍경, 보부천 계곡미"
54구간,두천리(내성행상불망비) ~ 안말래마을 ~ 사기점 ~ 돌머리삼거리 ~ 보부천 ~ 선바위 ~ 중섬마을,17.5,3시간 40분,2~3등급,하원리대피소,경북 울진군 금강송면 하원리 72번지 일원,웅장한 불영계곡 비경 감상
55구간,중섬마을 - 전치마을 - 한티재 ~ 막금마을 ~ 누금마을 ~ 내앞마을 ~ 구미마을 ~ 성류굴입구 ~ 망양정 ~ 망양정 해수욕장,20,4시간 10분,2~3등급,하원리대피소,경북 울진군 금강송면 하원리 72번지 일원 (불영계곡 주변),"울진 대게 요리, 은어튀김, 민물고기 생태관"
55구간,중섬마을 - 전치마을 - 한티재 ~ 막금마을 ~ 누금마을 ~ 내앞마을 ~ 구미마을 ~ 성류굴입구 ~ 망양정 ~ 망양정 해수욕장,20,4시간 10분,2~3등급,국립울진동서트레일센터,경북 울진군 근남면 수곡리 721-1 일원,"동서트레일 공식 센터 전시, 성류굴 관람"
55구간,중섬마을 - 전치마을 - 한티재 ~ 막금마을 ~ 누금마을 ~ 내앞마을 ~ 구미마을 ~ 성류굴입구 ~ 망양정 ~ 망양정 해수욕장,20,4시간 10분,2~3등급,산포리대피소,경북 울진군 근남면 산포리 556-4 (망양정 해수욕장 주변),"관동팔경 망양정 풍경, 은어다리 야경, 동해바다 전망"
